iter	Passed	Remaining
931	10298	751
932	10308	740
933	10319	729
934	10331	718
935	10341	707
936	10352	696
937	10363	684
938	10373	673
939	10385	662
940	10395	651
941	10406	640
942	10416	629
943	10427	618
944	10438	607
945	10449	596
946	10459	585
947	10470	574
948	10480	563
949	10491	552
950	10501	541
951	10512	530
952	10523	518
953	10533	507
954	10544	496
955	10555	485
956	10565	474
957	10576	463
958	10586	452
959	10597	441
960	10608	430
961	10619	419
962	10629	408
963	10640	397
964	10650	386
965	10661	375
966	10672	364
967	10683	353
968	10694	342
969	10705	331
970	10715	320
971	10726	308
972	10737	297
973	10748	286
974	10759	275
975	10770	264
976	10781	253
977	10792	242
978	10802	231
979	10813	220
980	10823	209
981	10834	198
982	10844	187
983	10855	176
984	10866	165
985	10877	154
986	10889	143
987	10899	132
988	10910	121
989	10920	110
990	10931	99
991	10941	88
992	10952	77
993	10963	66
994	10973	55
995	10984	44
996	10995	33
997	11006	22
998	11016	11
999	11027	0
